barcode,energy,sodium,sugars,fat,
000010,1900,0.25984252,26,23,
0024,1590,0,0,0.5,
000030,1768,0.255905512,28,19,
000031,1670,0.236220472,34,15,
000050,1868,0.216535433,39,23,
000051,1896,0.307086614,37,24,
0000000000100,936,1.811023622,22,8.2,
000104,1724,0.248031496,31,18,
000227,1807,0.275590551,37,20,
231,790,0.138,3.4,14.9,
00000758,144,0,2.5,0.9,
001151,2018,0.078740157,48,18,
001664,1960,0.11023622,50,16,
7132,879,0.055,21,12,
8712,435,0.708661417,22.8,0.1,
00011501,1665,0,96,0.5,
00011693,2172,0.393700787,33.5,29.1,
0011778,1809,0.326771654,35.7,13.3,
00011815,1981,0.224409449,31.8,20.8,
13214,78,0.3,1,0,
16277,690,0,0,13,
00018210,126,0.248031496,2.7,1.4,
24037,376,0.07,6.9,1.3,
00025157,1423,0.64,5,16,
00025751,564,0.787401575,2.9,2,
0000000027083,1513,0,0,0,
00031858,188,0.295275591,2.4,2.1,
32767,533,0.33,2.7,3.5,
00033046,615,0.07,0,6.4,
00036559,1506,0.59,3,15,
00044196,2025,0.31496063,1.8,0,
0000000050913,2179,0,0,0,
00053327,1554,0.00394,1.5,1.3,
00054379,235,0.007874016,11,0.5,
56255,8895,0,0,0,
0000000056434,5,0,0,0,
58889,578,0,0,0,
00062916,753,0.16,23,0,
00064491,3404,0.003937008,0.5,92,
00066020,42,0.11,2,0,
00068789,725,0.88,15.2,6.9,
00073455,354,0.098425197,2.7,1.6,
00074742,1063,0.078740157,57.4,0.9,
00078115,1618,0.602362205,0.4,32.9,
00079150,1088,0.38,1,7,
00082372,1849,0.188976378,43.9,0,
00083164,586,0.236220472,0.5,3.8,
00088862,1554,0.00394,1.5,1.3,
00090100,622,0.248031496,0.5,4.4,
00090131,647,0.31496063,1.2,5.9,
00090780,188,0.37,6,0,
0096386,761,0.88,5.6,5,
00098724,293,0.01,3,5,
00099332,811,0.236220472,1.3,5.3,
00100656,1205,0.66,0.6,19,
103106,502,0,0,0,
00104456,1205,0.66,0.6,19,
00107952,485,0.188976378,2.3,0,
00110112,79,0.039370079,1.8,0.5,
00111652,1633,0.11,30.1,15.8,
112101,0,0,0,0,
00113380,640,0.405511811,0.7,9.7,
00114356,215,0.216535433,4,2.5,
00115830,452,0.188976378,2.8,3.3,
00116343,1299,0.0394,43.1,7.3,
00116350,1299,0.0394,43.1,7.3,
00116367,1299,0.0394,43.1,7.3,
00116954,2433,0.08,26.8,45.6,
00117746,1928,0.318897638,44.4,17.7,
00120623,2184,0.393700787,23.6,35.3,
00120920,1493,0,0.7,3.2,
121340,42,0.035,1,0,
00122870,2173,0.720472441,1.9,30.4,
00125628,1324,0.0787,45.4,4.9,
00125642,1324,0.0787,45.4,4.9,
00126410,1515,0,3.5,1.7,
00126953,679,0.039370079,0.6,0.6,
00128605,1474,0,0.5,1.8,
0129725,1109,0.208661417,1,14.6,
00130257,1398,0.0118,80.8,0.5,
00132282,789,1.279527559,0.1,9.5,
140023,2257,0.006614173,23.6,39.8,
140510,1657,0.011811024,27.6,3.8,
00140591,1671,0.169,27.3,15.9,
00144353,365,0.44488189,18.1,0.5,
00148498,1142,0.267716535,2.3,17.3,
00149228,2536,0.0145,0,55.4,
00151269,1069,0.0394,58.5,0.5,
00157780,450,0.169,1.8,8.6,
00161862,905,0.326771654,5.4,6.9,
00162067,748,1.25984252,1.2,18.5,
00163484,2034,0.189,31.3,20.2,
00166010,547,0.15,0.1,9,
00167048,2669,0,4.6,0,
00168526,1100,0.0591,15.1,20.9,
00168953,1383,0.11,39.6,9.8,
00169042,90,0.1,1.6,0.5,
